iter	Passed	Remaining
0	1	1207
1	2	1043
2	2	992
3	3	976
4	4	969
5	5	958
6	6	940
7	7	931
8	8	921
9	9	915
10	10	909
11	10	902
12	11	896
13	12	888
14	14	921
15	14	917
16	15	912
17	16	907
18	17	903
19	18	899
20	19	895
21	20	893
22	20	890
23	21	888
24	22	883
25	23	880
26	24	877
27	25	875
28	26	874
29	26	872
30	27	873
31	29	883
32	30	884
33	31	883
34	31	880
35	32	877
36	33	874
37	34	873
38	35	869
39	36	866
40	36	864
41	37	864
42	38	861
43	39	859
44	40	856
45	41	855
46	42	853
47	42	850
48	43	851
49	44	854
50	46	862
51	47	861
52	48	859
53	49	858
54	49	856
55	50	854
56	51	852
57	52	850
58	53	848
59	54	846
60	54	845
61	55	843
62	56	842
63	57	840
64	58	839
65	59	842
66	60	844
67	61	842
68	62	842
69	63	843
70	64	844
71	65	842
72	66	841
73	67	841
74	68	839
75	68	838
76	69	836
77	70	833
78	71	832
79	72	829
80	72	827
81	73	826
82	74	827
83	75	827
84	76	825
85	77	824
86	78	824
87	79	823
88	80	824
89	81	825
90	83	832
91	84	832
92	85	831
93	86	830
94	87	829
95	88	829
96	88	827
97	89	828
98	91	830
99	92	830
100	93	829
101	93	827
102	94	825
103	95	824
104	96	822
105	97	820
106	98	818
107	98	816
108	99	814
109	100	812
110	101	810
111	102	809
112	102	808
113	103	806
114	104	806
115	105	806
116	106	803
117	107	802
118	108	800
119	108	798
120	109	796
121	110	794
122	111	792
123	112	791
124	112	789
125	113	788
126	114	785
127	115	783
128	115	782
129	116	781
130	117	779
131	118	777
132	119	776
133	120	777
134	121	776
135	121	774
136	122	773
137	123	772
138	124	770
139	125	768
140	125	767
141	126	764
142	127	762
143	128	761
144	128	760
145	129	758
146	130	757
147	131	755
148	132	754
149	132	753
150	133	751
151	134	750
152	135	751
153	136	750
154	137	748
155	138	747
156	138	745
157	139	744
158	140	743
159	141	742
160	141	739
161	142	737
162	143	736
163	144	734
164	145	734
165	145	733
166	146	731
167	147	730
168	148	728
169	149	728
170	150	728
171	151	727
172	151	726
173	152	724
174	153	723
175	154	721
